,,,Before,,,,,,,,,,,After,,,,
,,,,,,,,,,,,,,,,,,
========== RoomId : 0 MemoryPooling before BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 MemoryPooling After BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
========== RoomId : 0 5Room+1000P+600M No Pooling No Chunk BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 5Room+1000P+600M No Pooling SendBuffer Chunk BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
I-Flush,100,0.17763,0,8.459,0,8.459,0.837162,,,,I-Flush,100,0.20312,0.000999928,7.17,0.000999928,7.17,0.726744
D-Flush,100,0.29568,0.166,1.901,0.167,1.901,0.215283,,,,D-Flush,100,0.35253,0.172,7.301,0.175,7.301,0.724397
Update,100,0.86114,0.541,4.845,0.548,4.845,0.600452,,,,Update,100,1.23697,0.547,16.688,0.569,16.688,2.27676
Room,100,1.4489,0.773,9.673,0.864,9.673,1.06629,,,,Room,100,1.91393,0.88,17.278,0.913,17.278,2.50712
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 5Room+1000P+600M No Pooling No Chunk BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 5Room+1000P+600M No Pooling SendBuffer Chunk BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
I-Flush,100,0.10599,0,0.662,0,0.662,0.12775,,,,I-Flush,100,0.07921,0,0.208,0,0.208,0.070871
D-Flush,100,0.4053,0.208,8.349,0.218,8.349,0.894833,,,,D-Flush,100,0.26664,0.191,0.695,0.197,0.695,0.0705112
Update,100,0.80105,0.549,5.192,0.567,5.192,0.520668,,,,Update,100,0.68203,0.505,1.889,0.512,1.889,0.162774
Room,100,1.41982,0.915,9.285,0.944,9.285,1.05925,,,,Room,100,1.13327,0.784,2.281,0.861,2.281,0.218013
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 5Room+1000P+600M No Pooling No Chunk BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 5Room+1000P+600M No Pooling SendBuffer Chunk BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
I-Flush,100,0.27779,0,16.445,0,16.445,1.65957,,,,I-Flush,100,0.05585,0,0.334,0.000999928,0.334,0.083633
D-Flush,100,0.30012,0.221,1.041,0.224,1.041,0.107692,,,,D-Flush,100,1.43386,0.195,83.065,0.204,83.065,8.41712
Update,100,1.0988,0.547,11.656,0.548,11.656,1.68485,,,,Update,100,0.71968,0.487,5.066,0.503,5.066,0.484062
Room,100,1.7827,0.875,17.583,0.883,17.583,2.34585,,,,Room,100,2.39667,0.806,83.797,0.839,83.797,8.44188
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 5Room+1000P+600M No Pooling No Chunk BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 5Room+1000P+600M No Pooling SendBuffer Chunk BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
I-Flush,100,0.09981,0,0.785,0.000999928,0.785,0.113443,,,,I-Flush,100,0.05309,0,0.541,0,0.541,0.0939453
D-Flush,100,0.37706,0.182,4.651,0.185,4.651,0.504453,,,,D-Flush,100,0.5628,0.168,13.638,0.182,13.638,1.82113
Update,100,0.7033,0.449,1.53,0.485,1.53,0.226452,,,,Update,100,0.72829,0.363,5.751,0.386,5.751,0.569487
Room,100,1.29025,0.852,5.253,0.854,5.253,0.592053,,,,Room,100,1.6075,0.623,16.915,0.624,16.915,2.49473
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 5Room+1000P+600M No Pooling No Chunk BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 5Room+1000P+600M No Pooling SendBuffer Chunk BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
I-Flush,100,0.0621,0.000999928,2.34,0.000999928,2.34,0.24039,,,,I-Flush,100,0.00112999,0,0.00300026,0,0.00300026,0.000687822
D-Flush,100,1.78534,0.174,39.625,0.184,39.625,5.1943,,,,D-Flush,100,1.1285,0.165,21.136,0.177,21.136,3.62626
Update,100,1.13085,0.339,19.873,0.371,19.873,2.41507,,,,Update,100,1.51883,0.351,37.588,0.353,37.588,4.29483
Room,100,3.60811,0.634,46.732,0.654,46.732,6.90414,,,,Room,100,3.05506,0.582,39.396,0.623,39.396,6.21963
======================================,,,,,,,,,,,======================================,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
========== RoomId : 0 200Room+20P+300M No Pooling No Chunk BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 200Room+20P+300M Y Pooling Y Chunk BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
I-Flush,100,0.00615001,0,0.163,0,0.163,0.0162987,,,,I-Flush,100,0.00640001,0,0.157,0,0.157,0.0170399
D-Flush,100,0.09626,0.00199986,1.406,0.00199986,1.406,0.164226,,,,D-Flush,100,0.07513,0.000999928,0.665,0.00199986,0.665,0.0962726
Update,100,0.41299,0.027,1.953,0.0279999,1.953,0.255062,,,,Update,100,0.38262,0.00899982,1.98,0.0749998,1.98,0.293596
Room,100,0.5576,0.033,2.129,0.0379996,2.129,0.345243,,,,Room,100,0.51867,0.013,3.049,0.085,3.049,0.409634
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 200Room+20P+300M No Pooling No Chunk BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 200Room+20P+300M Y Pooling Y Chunk BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
I-Flush,100,0.02136,0.000999928,0.969,0.000999928,0.969,0.0954258,,,,I-Flush,100,0.0147,0.00599957,0.531,0.00600004,0.531,0.052092
D-Flush,100,0.27157,0.0969996,1.092,0.117,1.092,0.143966,,,,D-Flush,100,0.16052,0.0750003,0.505,0.0840001,0.505,0.0699097
Update,100,1.09263,0.484,2.418,0.497,2.418,0.468924,,,,Update,100,0.76858,0.376,1.822,0.376,1.822,0.299801
Room,100,1.47901,0.694,3.362,0.711,3.362,0.585696,,,,Room,100,1.04548,0.522,2.65,0.523,2.65,0.38257
======================================,,,,,,,,,,,======================================,,,,,,,
,,,,,,,,,,,========== RoomId : 0 200Room+20P+300M Y Pooling Y Chunk BENCHMARK SUMMARY ==========,,,,,,,
"프로세스 실행 후 4개의 더미, 각 더미는 1000 session 입장 후 random move 300ms interval send",,,,,,,,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
총 서버는 200개 room,,,,,,,,,,,I-Flush,100,0.02654,0.00600004,0.969,0.00699997,0.969,0.103142
"room당 20 player , 300 monster AI",,,,,,,,,,,D-Flush,100,0.30022,0.147,1.104,0.171,1.104,0.13841
메모리 풀링과 SendBufferPooling,,,,,,,,,,,Update,100,1.48947,0.77,2.926,0.778,2.926,0.448271
LocalChunk 등을 하지 않은 결과,,,,,,,,,,,Room,100,1.94534,1.023,3.952,1.037,3.952,0.565279
프로세스 실행 약 1분 후 ,,,,,,,,,,,======================================,,,,,,,
호출 스택에서 ucrtbase.dll 위에 ntdll.dll이 여러 줄 쌓여 있다가 터짐,,,,,,,,,,,========== RoomId : 0 200Room+20P+300M Y Pooling Y Chunk BENCHMARK SUMMARY ==========,,,,,,,
힙 관리자가 망가진 메모리 지도를 고치려다 포기하고 자폭,,,,,,,,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
,,,,,,,,,,,I-Flush,100,0.01822,0.00699997,0.523,0.00700045,0.523,0.0523997
실행시 Monster AI가 미친듯이 Projectile과 Field를 생성중,,,,,,,,,,,D-Flush,100,0.49204,0.247,2.144,0.256,2.144,0.272203
ChunkManager의 PopChunk가 끊임없이 이어지고 반납이 되는 중,,,,,,,,,,,Update,100,2.00043,1.246,3.297,1.3,3.297,0.452373
,,,,,,,,,,,Room,100,2.64924,1.681,4.637,1.688,4.637,0.585168
반면에 풀링과 Chunk를 한 경우는 2분이 경과해도 지속적으로 프로세스가 안정적으로 돌아감,,,,,,,,,,,======================================,,,,,,,
global manager에 raw ptr로 담는 push pop 같은 lock-free chunkmanager도 정상동작 함,,,,,,,,,,,,,,,,,,
결론,,,,,,,,,,,,,,,,,,
"고빈도 동적 할당 환경에서 Heap Fragmentation으로 인한 크래시를 재현하고,",,,,,,,,,,,,,,,,,,
Chunk 기반 Object Pooling과 Lock-free 구조를 통해 메모리 안정성과 성능을 동시에 확보,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
